,S.NO,Insurance Name,Age,Profile,Government/Private,Health Condition,Coverage
0,0,Optima Secure by HDFC ERGO,18-75,Self,Private,Others,500000
1,1,Optima Restore by HDFC ERGO,18-65,Self,Private,Others,500000
2,2,Optima Secure by HDFC ERGO,18-75,Self,Private,Others,1000000
3,3,Optima Restore by HDFC ERGO,18-65,Self,Private,Others,1000000
4,4,Optima Secure by HDFC ERGO,18-75,Self,Private,Others,2000000
5,5,Optima Restore by HDFC ERGO,18-65,Self,Private,Others,2000000
6,6,Optima Secure by HDFC ERGO,18-75,Self,Private,Others,5000000
7,7,Optima Restore by HDFC ERGO,18-65,Self,Private,Others,5000000
8,8,Optima Secure by HDFC ERGO,18-75,Self,Private,Others,10000000
9,9,Optima Secure by HDFC ERGO,18-75,Self,Private,Others,20000000
10,10,Optima Secure by HDFC ERGO,18-75,Self and Spouse,Private,Others,500000
11,11,Optima Restore by HDFC ERGO,18-65,Self and Spouse,Private,Others,500000
12,12,Optima Secure by HDFC ERGO,18-75,Self and Spouse,Private,Others,1000000
13,13,Optima Restore by HDFC ERGO,18-65,Self and Spouse,Private,Others,1000000
14,14,Optima Secure by HDFC ERGO,18-75,Self and Spouse,Private,Others,2000000
15,15,Optima Restore by HDFC ERGO,18-65,Self and Spouse,Private,Others,2000000
16,16,Optima Secure by HDFC ERGO,18-75,Self and Spouse,Private,Others,5000000
17,17,Optima Restore by HDFC ERGO,18-65,Self and Spouse,Private,Others,5000000
18,18,Optima Secure by HDFC ERGO,18-75,Self and Spouse,Private,Others,10000000
19,19,Optima Secure by HDFC ERGO,18-75,Self and Spouse,Private,Others,20000000
20,20,Optima Secure by HDFC ERGO,18-75,Self and Spouse and 1Kid,Private,Others,500000
21,21,Optima Restore by HDFC ERGO,18-65,Self and Spouse and 1Kid,Private,Others,500000
22,22,Optima Secure by HDFC ERGO,18-75,Self and Spouse and 1Kid,Private,Others,1000000
23,23,Optima Restore by HDFC ERGO,18-65,Self and Spouse and 1Kid,Private,Others,1000000
24,24,Optima Secure by HDFC ERGO,18-75,Self and Spouse and 1Kid,Private,Others,2000000
25,25,Optima Restore by HDFC ERGO,18-65,Self and Spouse and 1Kid,Private,Others,2000000
26,26,Optima Secure by HDFC ERGO,18-75,Self and Spouse and 1Kid,Private,Others,5000000
27,27,Optima Restore by HDFC ERGO,18-65,Self and Spouse and 1Kid,Private,Others,5000000
28,28,Optima Secure by HDFC ERGO,18-75,Self and Spouse and 1Kid,Private,Others,10000000
29,29,Optima Secure by HDFC ERGO,18-75,Self and Spouse and 1Kid,Private,Others,20000000
30,30,Optima Secure by HDFC ERGO,18-75,Self and Spouse and 2Kids,Private,Others,500000
31,31,Optima Restore by HDFC ERGO,18-65,Self and Spouse and 2Kids,Private,Others,500000
32,32,Optima Secure by HDFC ERGO,18-75,Self and Spouse and 2Kids,Private,Others,1000000
33,33,Optima Restore by HDFC ERGO,18-65,Self and Spouse and 2Kids,Private,Others,1000000
34,34,Optima Secure by HDFC ERGO,18-75,Self and Spouse and 2Kids,Private,Others,2000000
35,35,Optima Restore by HDFC ERGO,18-65,Self and Spouse and 2Kids,Private,Others,2000000
36,36,Optima Secure by HDFC ERGO,18-75,Self and Spouse and 2Kids,Private,Others,5000000
37,37,Optima Restore by HDFC ERGO,18-65,Self and Spouse and 2Kids,Private,Others,5000000
38,38,Optima Secure by HDFC ERGO,18-75,Self and Spouse and 2Kids,Private,Others,10000000
39,39,Optima Secure by HDFC ERGO,18-75,Self and Spouse and 2Kids,Private,Others,20000000
40,40,Optima Secure by HDFC ERGO,18-75,Parents,Private,Others,500000
41,41,Optima Restore by HDFC ERGO,18-65,Parents,Private,Others,500000
42,42,Optima Secure by HDFC ERGO,18-75,Parents,Private,Others,1000000
43,43,Optima Restore by HDFC ERGO,18-65,Parents,Private,Others,1000000
44,44,Optima Secure by HDFC ERGO,18-75,Parents,Private,Others,2000000
45,45,Optima Restore by HDFC ERGO,18-65,Parents,Private,Others,2000000
46,46,Optima Secure by HDFC ERGO,18-75,Parents,Private,Others,5000000
47,47,Optima Restore by HDFC ERGO,18-65,Parents,Private,Others,5000000
48,48,Optima Secure by HDFC ERGO,18-75,Parents,Private,Others,10000000
49,49,Optima Secure by HDFC ERGO,18-75,Parents,Private,Others,20000000
50,50,Optima Secure by HDFC ERGO,18-75,Senior Citizen,Private,Others,500000
51,51,Optima Restore by HDFC ERGO,18-65,Senior Citizen,Private,Others,500000
52,52,Optima Secure by HDFC ERGO,18-75,Senior Citizen,Private,Others,1000000
53,53,Optima Restore by HDFC ERGO,18-65,Senior Citizen,Private,Others,1000000
54,54,Optima Secure by HDFC ERGO,18-75,Senior Citizen,Private,Others,2000000
55,55,Optima Restore by HDFC ERGO,18-65,Senior Citizen,Private,Others,2000000
56,56,Optima Secure by HDFC ERGO,18-75,Senior Citizen,Private,Others,5000000
57,57,Optima Restore by HDFC ERGO,18-65,Senior Citizen,Private,Others,5000000
58,58,Optima Secure by HDFC ERGO,18-75,Senior Citizen,Private,Others,10000000
59,59,Optima Secure by HDFC ERGO,18-75,Senior Citizen,Private,Others,20000000
60,60,Individual Health Protector by Iffco Tokio,18-60,Self,Private,Others,200000
61,61,Individual Health Protector by Iffco Tokio,18-60,Self,Private,Others,300000
62,62,Individual Health Protector by Iffco Tokio,18-60,Self,Private,Others,500000
63,63,Individual Health Protector by Iffco Tokio,18-60,Self,Private,Others,1000000
64,64,Individual Health Protector by Iffco Tokio,18-60,Self,Private,Others,2000000
65,65,Individual Health Protector by Iffco Tokio,18-60,Senior Citizen,Private,Others,200000
66,66,Individual Health Protector by Iffco Tokio,18-60,Senior Citizen,Private,Others,300000
67,67,Individual Health Protector by Iffco Tokio,18-60,Senior Citizen,Private,Others,500000
68,68,Individual Health Protector by Iffco Tokio,18-60,Senior Citizen,Private,Others,1000000
69,69,Individual Health Protector by Iffco Tokio,18-60,Senior Citizen,Private,Others,2000000
70,70,Mediclaim Policy by New India Assurance,18-50,Self,Private,Others,100000
71,71,Mediclaim Policy by New India Assurance,18-50,Self,Private,Others,200000
72,72,Mediclaim Policy by New India Assurance,18-50,Self,Private,Others,300000
73,73,Mediclaim Policy by New India Assurance,18-50,Self,Private,Others,500000
74,74,Yuva Bharat Gold Health Policy by New India Assurance,18-45,Self,Private,Diabetes,500000
75,75,Yuva Bharat Gold Health Policy by New India Assurance,18-45,Self,Private,Hypertension,500000
76,76,Yuva Bharat Base Health Policy by New India Assurance,18-45,Self,Private,Diabetes,500000
77,77,Yuva Bharat Base Health Policy by New India Assurance,18-45,Self,Private,Hypertension,500000
78,78,Mediclaim Policy by New India Assurance,18-50,Self,Private,Others,1000000
79,79,Yuva Bharat Gold Health Policy by New India Assurance,18-45,Self,Private,Diabetes,1000000
80,80,Yuva Bharat Gold Health Policy by New India Assurance,18-45,Self,Private,Hypertension,1000000
81,81,Yuva Bharat Base Health Policy by New India Assurance,18-45,Self,Private,Diabetes,1000000
82,82,Yuva Bharat Base Health Policy by New India Assurance,18-45,Self,Private,Hypertension,1000000
83,83,Yuva Bharat Gold Health Policy by New India Assurance,18-45,Self,Private,Diabetes,5000000
84,84,Yuva Bharat Gold Health Policy by New India Assurance,18-45,Self,Private,Hypertension,5000000
85,85,Yuva Bharat Base Health Policy by New India Assurance,18-45,Self,Private,Diabetes,5000000
86,86,Yuva Bharat Base Health Policy by New India Assurance,18-45,Self,Private,Hypertension,5000000
87,87,Aspire Gold+ (Direct) by Niva Bupa,18-50,Self,private,Diabetes,500000
88,88,ReAssure 2.0 Bronze+ (Direct)  by Niva Bupa,18-50,Self,private,Diabetes,500000
89,89,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-50,Self,private,Diabetes,500000
90,90,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-50,Self,private,Diabetes,500000
91,91,Aspire Diamond+ (Direct)  by Niva Bupa,18-50,Self,private,Diabetes,500000
92,92,Aspire Platinum+ (Direct)  by Niva Bupa,18-50,Self,private,Diabetes,500000
93,93,Aspire Titanium+ (Direct)  by Niva Bupa,18-50,Self,private,Diabetes,500000
94,94,ReAssure 2.0 Bronze+  by Niva Bupa,18-50,Self,private,Diabetes,500000
95,95,ReAssure 2.0 Platinum  by Niva Bupa,18-50,Self,private,Diabetes,500000
96,96,ReAssure 2.0 Titanium+  by Niva Bupa,18-50,Self,private,Diabetes,500000
97,97,Aspire Gold+  by Niva Bupa,18-50,Self,private,Diabetes,500000
98,98,Aspire Diamond+  by Niva Bupa,18-50,Self,private,Diabetes,500000
99,99,Aspire Platinum+  by Niva Bupa,18-50,Self,private,Diabetes,500000
100,100,Aspire Titanium+  by Niva Bupa,18-50,Self,private,Diabetes,500000
101,101,Health ReAssure  by Niva Bupa,18-50,Self,private,Diabetes,500000
102,102, Health ReAssure (Direct)  by Niva Bupa,18-50,Self,private,Diabetes,500000
103,103,Health Gain by Reliance,18-50,Self,private,Diabetes,500000
104,104,Health Infinity (More Cover) by Reliance,18-50,Self,private,Others,500000
105,105,Health Infinity (More Time) by Reliance,18-50,Self,private,Others,500000
106,106,Arogya Sanjeevani by Reliance,18-50,Self,private,Diabetes,300000
107,107,Health Infinity (More Cover) by Reliance,18-50,Self,private,Diabetes,500000
108,108,Health QuBE SuperSaver by Raheja QBE,18-50,Self,private,Others,300000
109,109,Arogya Sanjeevani by Raheja QBE,18-50,Self,private,Others,300000
110,110,Health QuBE Basic by Raheja QBE,18-50,Self,private,Others,300000
111,111,Health QuBE Comprehensive by Raheja QBE,18-50,Self,private,Others,300000
112,112,Aspire Gold+ (Direct) by Niva Bupa,18-50,Self,private,Hypertension,500000
113,113,ReAssure 2.0 Bronze+ (Direct)  by Niva Bupa,18-50,Self,private,Hypertension,500000
114,114,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-50,Self,private,Hypertension,500000
115,115,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-50,Self,private,Hypertension,500000
116,116,Aspire Diamond+ (Direct)  by Niva Bupa,18-50,Self,private,Hypertension,500000
117,117,Aspire Platinum+ (Direct)  by Niva Bupa,18-50,Self,private,Hypertension,500000
118,118,Aspire Titanium+ (Direct)  by Niva Bupa,18-50,Self,private,Hypertension,500000
119,119,ReAssure 2.0 Bronze+  by Niva Bupa,18-50,Self,private,Hypertension,500000
120,120,ReAssure 2.0 Platinum  by Niva Bupa,18-50,Self,private,Hypertension,500000
121,121,ReAssure 2.0 Titanium+  by Niva Bupa,18-50,Self,private,Hypertension,500000
122,122,Aspire Gold+  by Niva Bupa,18-50,Self,private,Hypertension,500000
123,123,Aspire Diamond+  by Niva Bupa,18-50,Self,private,Hypertension,500000
124,124,Aspire Platinum+  by Niva Bupa,18-50,Self,private,Hypertension,500000
125,125,Aspire Titanium+  by Niva Bupa,18-50,Self,private,Hypertension,500000
126,126,Health ReAssure  by Niva Bupa,18-50,Self,private,Hypertension,500000
127,127, Health ReAssure (Direct)  by Niva Bupa,18-50,Self,private,Hypertension,500000
128,128,Health Gain by Reliance,18-50,Self,private,Hypertension,500000
129,129,Health Infinity (More Time) by Reliance,18-50,Self,private,Hypertension,500000
130,130,Health Infinity (More Cover) by Reliance,18-50,Self,private,Hypertension,500000
131,131,Health QuBE Basic by Raheja QBE,18-50,Self,private,Others,300000
132,132,Health QuBE Comprehensive by Raheja QBE,18-50,Self,private,Others,300000
133,133,Aspire Gold+ (Direct) by Niva Bupa,18-50,Self and Spouse,private,Diabetes,500000
134,134,ReAssure 2.0 Bronze+ (Direct)  by Niva Bupa,18-50,Self and Spouse,private,Diabetes,500000
135,135,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-50,Self and Spouse,private,Diabetes,500000
136,136,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-50,Self and Spouse,private,Diabetes,500000
137,137,Aspire Diamond+ (Direct)  by Niva Bupa,18-50,Self and Spouse,private,Diabetes,500000
138,138,Aspire Platinum+ (Direct)  by Niva Bupa,18-50,Self and Spouse,private,Diabetes,500000
139,139,Aspire Titanium+ (Direct)  by Niva Bupa,18-50,Self and Spouse,private,Diabetes,500000
140,140,ReAssure 2.0 Bronze+  by Niva Bupa,18-50,Self and Spouse,private,Diabetes,500000
141,141,ReAssure 2.0 Platinum  by Niva Bupa,18-50,Self and Spouse,private,Diabetes,500000
142,142,ReAssure 2.0 Titanium+  by Niva Bupa,18-50,Self and Spouse,private,Diabetes,500000
143,143,Aspire Gold+  by Niva Bupa,18-50,Self and Spouse,private,Diabetes,500000
144,144,Aspire Diamond+  by Niva Bupa,18-50,Self and Spouse,private,Diabetes,500000
145,145,Aspire Platinum+  by Niva Bupa,18-50,Self and Spouse,private,Diabetes,500000
146,146,Aspire Titanium+  by Niva Bupa,18-50,Self and Spouse,private,Diabetes,500000
147,147,Health ReAssure  by Niva Bupa,18-50,Self and Spouse,private,Diabetes,500000
148,148, Health ReAssure (Direct)  by Niva Bupa,18-50,Self and Spouse,private,Diabetes,500000
149,149,Health Gain by Reliance,18-50,Self and Spouse,private,Diabetes,500000
150,150,Health Infinity (More Cover) by Reliance,18-50,Self and Spouse,private,Others,500000
151,151,Health Infinity (More Time) by Reliance,18-50,Self and Spouse,private,Others,500000
152,152,Arogya Sanjeevani,18-50,Self and Spouse,private,Diabetes,300000
153,153,Health Infinity (More Cover) by Reliance,18-50,Self and Spouse,private,Diabetes,500000
154,154,Health QuBE SuperSaver by Raheja QBE,18-50,Self and Spouse,private,Others,300000
155,155,Arogya Sanjeevani by Raheja QBE,18-50,Self and Spouse,private,Others,300000
156,156,Health QuBE Basic by Raheja QBE,18-50,Self and Spouse,private,Others,300000
157,157,Health QuBE Comprehensive by Raheja QBE,18-50,Self and Spouse,private,Others,300000
158,158,Aspire Gold+ (Direct) by Niva Bupa,18-50,Self and Spouse,private,Hypertension,500000
159,159,ReAssure 2.0 Bronze+ (Direct)  by Niva Bupa,18-50,Self and Spouse,private,Hypertension,500000
160,160,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-50,Self and Spouse,private,Hypertension,500000
161,161,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-50,Self and Spouse,private,Hypertension,500000
162,162,Aspire Diamond+ (Direct)  by Niva Bupa,18-50,Self and Spouse,private,Hypertension,500000
163,163,Aspire Platinum+ (Direct)  by Niva Bupa,18-50,Self and Spouse,private,Hypertension,500000
164,164,Aspire Titanium+ (Direct)  by Niva Bupa,18-50,Self and Spouse,private,Hypertension,500000
165,165,ReAssure 2.0 Bronze+  by Niva Bupa,18-50,Self and Spouse,private,Hypertension,500000
166,166,ReAssure 2.0 Platinum  by Niva Bupa,18-50,Self and Spouse,private,Hypertension,500000
167,167,ReAssure 2.0 Titanium+  by Niva Bupa,18-50,Self and Spouse,private,Hypertension,500000
168,168,Aspire Gold+  by Niva Bupa,18-50,Self and Spouse,private,Hypertension,500000
169,169,Aspire Diamond+  by Niva Bupa,18-50,Self and Spouse,private,Hypertension,500000
170,170,Aspire Platinum+  by Niva Bupa,18-50,Self and Spouse,private,Hypertension,500000
171,171,Aspire Titanium+  by Niva Bupa,18-50,Self and Spouse,private,Hypertension,500000
172,172,Health ReAssure  by Niva Bupa,18-50,Self and Spouse,private,Hypertension,500000
173,173, Health ReAssure (Direct) by Niva Bupa,18-50,Self and Spouse,private,Hypertension,500000
